2023-03-15 22:57:38.211 [main] INFO  org.example.Calculator - [SQUARE ROOT] - 3.0
2023-03-15 22:57:38.213 [main] INFO  org.example.Calculator - [RESULT - SQUARE ROOT] - 1.7320508075688772
2023-03-15 22:58:13.620 [main] INFO  org.example.Calculator - [FACTORIAL] - 4.0
2023-03-15 22:58:13.621 [main] INFO  org.example.Calculator - [RESULT - FACTORIAL] - 24.0
2023-03-15 22:58:18.246 [main] INFO  org.example.Calculator - [NATURAL LOG] - 4.0
2023-03-15 22:58:18.247 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 1.3862943611198906
2023-03-15 22:58:25.960 [main] INFO  org.example.Calculator - [Power of - 2.0 raise to 3.0
2023-03-15 22:58:25.961 [main] INFO  org.example.Calculator - [RESULT - POWER Function] - 8.0
2023-03-15 23:11:10.395 [main] INFO  org.example.Calculator - [SQUARE ROOT] - 9.0
2023-03-15 23:11:10.397 [main] INFO  org.example.Calculator - [RESULT - SQUARE ROOT] - 3.0
2023-03-15 23:11:10.397 [main] INFO  org.example.Calculator - [SQUARE ROOT] - 0.0
2023-03-15 23:11:10.397 [main] INFO  org.example.Calculator - [RESULT - SQUARE ROOT] - 0.0
2023-03-15 23:11:10.397 [main] INFO  org.example.Calculator - [SQUARE ROOT] - 1.0
2023-03-15 23:11:10.397 [main] INFO  org.example.Calculator - [RESULT - SQUARE ROOT] - 1.0
2023-03-15 23:11:10.397 [main] INFO  org.example.Calculator - [SQUARE ROOT] - 25.0
2023-03-15 23:11:10.397 [main] INFO  org.example.Calculator - [RESULT - SQUARE ROOT] - 5.0
2023-03-15 23:11:10.398 [main] INFO  org.example.Calculator - [NATURAL LOG] - 1.0
2023-03-15 23:11:10.398 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 0.0
2023-03-15 23:11:10.398 [main] INFO  org.example.Calculator - [NATURAL LOG] - 2.718281828459045
2023-03-15 23:11:10.398 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 1.0
2023-03-15 23:11:10.399 [main] INFO  org.example.Calculator - [Power of - 5.0 raise to 3.0
2023-03-15 23:11:10.399 [main] INFO  org.example.Calculator - [RESULT - POWER Function] - 125.0
2023-03-15 23:11:10.399 [main] INFO  org.example.Calculator - [Power of - 0.0 raise to 0.0
2023-03-15 23:11:10.399 [main] INFO  org.example.Calculator - [RESULT - POWER Function] - 1.0
2023-03-15 23:11:10.399 [main] INFO  org.example.Calculator - [Power of - 1.0 raise to 5.0
2023-03-15 23:11:10.399 [main] INFO  org.example.Calculator - [RESULT - POWER Function] - 1.0
2023-03-15 23:11:10.399 [main] INFO  org.example.Calculator - [Power of - 3.0 raise to 2.0
2023-03-15 23:11:10.400 [main] INFO  org.example.Calculator - [RESULT - POWER Function] - 9.0
2023-03-15 23:11:10.400 [main] INFO  org.example.Calculator - [Power of - 5.0 raise to 2.0
2023-03-15 23:11:10.400 [main] INFO  org.example.Calculator - [RESULT - POWER Function] - 25.0
2023-03-15 23:11:10.400 [main] INFO  org.example.Calculator - [Power of - 0.0 raise to 0.0
2023-03-15 23:11:10.400 [main] INFO  org.example.Calculator - [RESULT - POWER Function] - 1.0
2023-03-15 23:11:10.400 [main] INFO  org.example.Calculator - [Power of - 1.0 raise to 5.0
2023-03-15 23:11:10.400 [main] INFO  org.example.Calculator - [RESULT - POWER Function] - 1.0
2023-03-15 23:11:10.400 [main] INFO  org.example.Calculator - [Power of - 3.0 raise to 2.0
